zeta,tau,p_out,inv_s,err_inv_s,inv_f,err_inv_f,eff,err_eff
1.859779507864659388e-03,5.376981495769720537e-02,0.000000000000000000e+00,2.675087145397635896e-02,2.427078424380367619e-05,6.282871741532778959e-04,4.274453017505954421e-05,9.980938599696287383e-05,3.049174367118974091e-03
8.632914188567828231e-03,5.376618754950012596e-02,0.000000000000000000e+00,2.656644787824708615e-02,1.123244051242240887e-04,6.281739811535792719e-04,1.971744890178965634e-04,4.600802665395420377e-04,4.039102916156496297e-03
4.008261842748071097e-02,5.374984905064986856e-02,0.000000000000000000e+00,2.574239732274574352e-02,5.142510675043836677e-04,6.276682280253334870e-04,8.896550100623640744e-04,2.069263379613217602e-03,6.083161859524253111e-03
1.862731757322916293e-01,5.368459500777399140e-02,0.000000000000000000e+00,2.249845143949353796e-02,2.231201498115576928e-03,6.256776688453284533e-04,3.656602567194018865e-03,8.394330733937138689e-03,8.759801858915295877e-03
9.008736286547294400e-03,3.449132494414193506e-02,0.000000000000000000e+00,2.655857415660192733e-02,7.560655594104408357e-03,6.282217956103824680e-04,4.796440762123547498e-05,3.079016076603657837e-04,6.632182864803455764e-03
2.585837834560754042e-02,5.577494269095975565e-02,0.000000000000000000e+00,2.610801720579072199e-02,1.905200426464161503e-02,6.278770625636589985e-04,2.295708725053211246e-04,1.404907587303605432e-03,2.040301130554237480e-02
2.770949649965928976e-02,2.415897200046211168e-01,0.000000000000000000e+00,2.599456100749122228e-02,3.134109676279393970e-03,6.262765853162575308e-04,9.709817944089639509e-04,6.492665397836883123e-03,1.289696179601445159e-03
7.827449630700408778e-02,3.969661451115353845e-01,0.000000000000000000e+00,2.450161855480611009e-02,5.976110584720950580e-02,6.193518305136180282e-04,3.307789683395810643e-03,2.840546973200808178e-02,5.754511798399610661e-02
1.128525046834616711e-03,8.555320835046748007e-01,0.000000000000000000e+00,2.675884195374786736e-02,2.469247053257203582e-05,6.280156525707761674e-04,5.389356556827075130e-05,9.639361486638575727e-04,3.706750944402031596e-04
5.238954722580010243e-03,8.554005491290482821e-01,0.000000000000000000e+00,2.660293462346696378e-02,1.132374055374414646e-04,6.269200721515835305e-04,2.489968563918678744e-04,4.448126877289015901e-03,2.635565721790641340e-04
2.433326641881230004e-02,8.548313190882442791e-01,0.000000000000000000e+00,2.590139704689409933e-02,4.979424639914256006e-04,6.219819538903248761e-04,1.131632623940422369e-03,2.010191699025709600e-02,4.247701327508595948e-05
1.131967097564108293e-01,8.529306078624345755e-01,0.000000000000000000e+00,2.306201752155898066e-02,1.872667788278449194e-03,6.018420520960363626e-04,4.797161699541786783e-03,8.307651126523130092e-02,1.260535374523040313e-03
9.721926891012857772e-04,3.085808023071300976e+00,0.000000000000000000e+00,2.673584355297477233e-02,1.367150568664030775e-05,6.273779082455284081e-04,6.872913082885543832e-05,2.992599475186707991e-03,6.069324263732134715e-06
4.513156807779012021e-03,3.085371746188204423e+00,0.000000000000000000e+00,2.649746084116255326e-02,6.243305952874216860e-05,6.239836443078951691e-04,3.176711777058897185e-04,1.376656627445460579e-02,1.777035614315190348e-04
2.095625860412298966e-02,3.084187970854693983e+00,0.000000000000000000e+00,2.543812688082580653e-02,2.739632618799251948e-04,6.088433722742692166e-04,1.446447228176623656e-03,6.134415191463482575e-02,1.859502879084864939e-05
9.696951752403910885e-02,3.093755725098134679e+00,0.000000000000000000e+00,2.137661660606555644e-02,1.358296206026811869e-03,5.497267184942006063e-04,6.128376405467196759e-03,2.392729876273563816e-01,1.044148010777005324e-03
1.859779538862925624e-03,5.376981406147752357e-02,1.666666666666666430e+01,4.045483065308999593e-02,9.497110000528319806e-06,6.282999754171274091e-04,2.529319032537108756e-05,5.906237478961543088e-05,9.256646757373353587e-03
8.632914245280150570e-03,5.376618719629318310e-02,1.666666666666666430e+01,4.034569768647945642e-02,4.376734082849218849e-05,6.282329932662146640e-04,1.166579837496984061e-04,2.722532842333737864e-04,2.708852803573701812e-03
4.008261843892663157e-02,5.374984903530115321e-02,1.666666666666666430e+01,3.985806436223360283e-02,1.965384480038301406e-04,6.279337129878840174e-04,5.260411138774143212e-04,1.224490142353178027e-03,5.787395626419737996e-03
1.862731757483462591e-01,5.368459500314700511e-02,1.666666666666666430e+01,3.793845384016444194e-02,7.829811705713318835e-04,6.267557961902017662e-04,2.156850928257447557e-03,4.967359562152092421e-03,8.686893039364634167e-03
9.006727295265720690e-03,3.449901839025515393e-02,1.666666666666666430e+01,4.034106968593717535e-02,2.944706100920498146e-03,6.282612874387217715e-04,2.838049484954318429e-05,1.822016654195215935e-04,4.642472092307650157e-03
2.585770398677034523e-02,5.577639727971663020e-02,1.666666666666666430e+01,4.007443070197079515e-02,7.344660840291477276e-03,6.280572910113075072e-04,1.357969617965112616e-04,8.313570126444581963e-04,1.996671032698700554e-02
2.770963438771844103e-02,2.415885178112923970e-01,1.666666666666666430e+01,4.000728059679610482e-02,1.202656415138676337e-03,6.271102061974927330e-04,5.735887939029057480e-04,3.842045334804929969e-03,1.384076465677993488e-03
7.827449012849546639e-02,3.969661764456104969e-01,1.666666666666666430e+01,3.912383148720385839e-02,2.134399186828401379e-02,6.230124705130289740e-04,1.943242593969601558e-03,1.680898536902711293e-02,5.756922106445068466e-02
1.128525059264275576e-03,8.555320740817811132e-01,1.666666666666666430e+01,4.045954721024890011e-02,9.663700079631836053e-06,6.281393020566164789e-04,3.188462336329031608e-05,5.704108638484881120e-04,1.006471310546857428e-03
5.238954725683167730e-03,8.554005486223743571e-01,1.666666666666666430e+01,4.036728878117397390e-02,4.415697646256631735e-05,6.274909904705972203e-04,1.471952670154860049e-04,2.632186683861333348e-03,1.259656982642374645e-04
2.433326641425469575e-02,8.548313192483536493e-01,1.666666666666666430e+01,3.995215272104913479e-02,1.909714302246066843e-04,6.245688505475836859e-04,6.665621412529415188e-04,1.189534374399058361e-02,1.203100392306924878e-05
1.131967097891099505e-01,8.529306076160484418e-01,1.666666666666666430e+01,3.827194503245893303e-02,6.669511809292666231e-04,6.126510292313861643e-04,2.783055239637231924e-03,4.916066756211642796e-02,1.267921069983925534e-03
9.721926992709313932e-04,3.085807990792130084e+00,1.666666666666666430e+01,4.044593786731082857e-02,5.347736245727302867e-06,6.277619157618680385e-04,4.064454294841727020e-05,1.770875855380680012e-03,2.106323249570555525e-04
4.513156825823642915e-03,3.085371733852183773e+00,1.666666666666666430e+01,4.030487448995286742e-02,2.428754955879529402e-05,6.257533542742048588e-04,1.874263800957429432e-04,8.146389127205720324e-03,1.332425786612556542e-04
