xi,tau,p_out,inv_s,err_inv_s,inv_f,err_inv_f,eff,err_eff
8.195800663084905346e-02,3.493046012721832787e-03,0.000000000000000000e+00,2.323292205233134118e-07,4.396896127513422528e-03,1.256092366941814002e-06,2.957311569312848828e-03,8.668366893941348295e-04,5.094092086633054614e-03
8.437799330398485509e-01,3.442590798825183231e-03,0.000000000000000000e+00,1.717151880844064558e-07,8.159848278819338205e-03,1.255363775152581413e-06,6.940132512626863599e-03,2.026012681203170906e-03,8.644487458281387843e-03
8.705516134615882251e+00,3.389243233078834995e-03,0.000000000000000000e+00,8.216248694550371122e-08,4.336713819540391132e-03,1.254710024843666386e-06,1.064800078800214045e-02,3.065540271507294356e-03,4.699754109509323916e-03
8.772332742091374769e+01,3.376311062747148952e-03,0.000000000000000000e+00,2.825036293411184292e-08,2.918657370689395586e-04,1.254541616322483649e-06,1.167169840558971404e-02,3.333170128488216477e-03,5.795101061059514851e-04
3.213759927574312558e-02,5.578189763694197528e-02,0.000000000000000000e+00,2.444601065906620350e-07,5.119979647316660106e-04,1.250901413965744722e-06,3.779095701056638633e-03,9.120978799338042009e-03,9.400198325389501602e-04
3.232059192190082642e-01,5.562376058025594178e-02,0.000000000000000000e+00,2.009139025678297751e-07,1.285490667916149498e-03,1.241704687440609456e-06,9.969557816064391828e-03,2.370518991205095016e-02,1.672573257263741241e-03
3.259489321638349590e+00,5.538921608701229821e-02,0.000000000000000000e+00,1.169340987833331496e-07,1.005772720375241059e-03,1.229053590491418033e-06,1.883550230353975286e-02,4.362893605820039600e-02,1.328597394213421826e-03
3.270885705085029116e+01,5.529263864602719514e-02,0.000000000000000000e+00,4.434368134420925270e-08,2.623152168160780020e-04,1.223477267786237614e-06,2.296344953744849232e-02,5.231969387031643048e-02,1.715264900036980757e-05
1.270598904195159931e-02,8.871473544366751396e-01,0.000000000000000000e+00,2.470218581023393291e-07,1.847355695924540056e-05,1.198234288240989232e-06,5.146173065127191380e-03,9.216559552995662319e-02,4.215625647632330873e-04
1.268851272518152495e-01,8.877580932059778718e-01,0.000000000000000000e+00,2.071970785689719003e-07,6.550467964496015311e-04,1.098780438788806788e-06,1.501176483614202230e-02,2.444652178831393519e-01,1.036119861778360754e-03
1.231013067123228444e+00,9.012985419890205963e-01,0.000000000000000000e+00,1.258910166850078039e-07,8.949176923055131988e-03,9.376028081239036089e-07,3.151176779865713651e-02,4.697082522890940748e-01,9.278430771625852461e-03
1.152878073487032573e+01,9.313401168006921749e-01,0.000000000000000000e+00,4.971374097902695915e-08,3.257487057500336319e-02,8.371629482206160443e-07,2.938512754201095742e-02,5.865565578511828804e-01,3.283401974032152532e-02
8.187906046481535638e-02,3.494729569847056933e-03,1.666666666666666774e-03,3.842784418894445817e-07,1.481212834882921024e-03,1.256313454960279387e-06,1.754763185243897808e-03,5.149954549044100105e-04,5.052938597494447022e-03
8.404796930795488397e-01,3.449343040861117555e-03,1.666666666666666774e-03,3.512713459740460705e-07,2.147918670242094860e-03,1.255858337332087393e-06,4.233186592187333785e-03,1.239118435505282001e-03,7.816865971996992540e-03
8.657134627424063922e+00,3.398700648243184116e-03,1.666666666666666774e-03,3.024590734533859214e-07,8.121302584402754652e-04,1.255318815962212947e-06,7.245481828686901882e-03,2.097216270849799891e-03,4.860473097526762411e-03
8.757567763194383303e+01,3.379156040300673302e-03,1.666666666666666774e-03,2.679938855165867769e-07,3.633132700562920762e-05,1.255024261539307435e-06,8.945360627141893395e-03,2.565542673187204414e-03,8.714805158332693258e-04
